Shi4185	S64
NongDa3338	S67
NongDa3331	S3331
JingDong6	S6554
ZhouMai18	S135
YanNong15	S136
LuMai21	S137
NongDa5181	S140
ShiLuan02d1	S142
ChangZhi6406	S209
SuMai3	S210
EnMai4	S211
Lovrin10	S212
BiMa4	S213
FengChan3	S214
JiNan17	S215
Fan6	S216
ZhengMai9023	S217
YanZhan1	S218
NanDa2419	S219
TaiShan1	S220
YuMai21	S221
ZhengYin4	S223
BaiNong3217	S224
BeiJing8	S225
ShiJiaZhuang54	S227
ZangDong4	S228
RiKaZe54	S229
RiKaZe8	S230
USClark	S231
USAtlas66	S232
GermanyRektor	S233
UKSpark	S234
FranceAztec	S235
RussiaKabka3	S236
NongLin10	S238
AustraliaOptimus	S239
FranceApache	S12
America1	C11
America2	C12
America3	C13
America4	C14
America5	C15
America6	C16
America7	C17
America8	C18
America9	C19
Egypt	C22
India1_cv	C31
India2_cv	C32
ZhouMai15	C42
XiNong979	C43
JiMai6	C44
Aikang58	C46
NongDa981	YM02
NongDa3097	YM03
LiangXing99	YM05
NongDa3753	YM07
JiMai22	NZ10
Fielder	PH09
JiMai20	PH10
JinMai47	XM01
BiMa1Hao	PH46
JiMai19	PH49
Hesheng2	NZ07
LuMai15	PH56
YueJin5Hao	PH68
Shannong12	PH59
ZhouMai16	PH105
ZhouMai22	PH108
HengGuan35	PH126
NongDa179	PH132
NongDa413	PH133
ZhongMai875	PH135
NeiXiang5Hao	PH153
xinmai26	SRR10766489
yannong21	SRR10766490
Gao5	YM01
Wilhelmina	SRR10766507
Rieti	SRR10766508
Quality	SRR10766509
zhengyin1	SRR10766510
xiaoyan6	SRR10766513
Abbondanza	SRR10766518
Orofen	SRR10766519
EarlyPremium	SRR10766527
Funo	SRR10766529
jinan9	SRR10766532
boai7023	SRR10766543
yumai41	SRR10766552
naxiang5	SRR10766554
ningchun4	SRR10766556
wenmai6	SRR10766557
een1	SRR10766564
jinan2	SRR10766565
chuanmai22	SRR10766573
mianyang11	SRR10766578
xian8	SRR10766580
yumai7	SRR10766581
Neuzucht	SRR10766582
mengxian201	SRR10766583
yumai13	SRR10766587
aifeng3	SRR10766588
xinong65	SRR10766597
jimai30	SRR10766598
lumai14	SRR10766609
gatuo	SRR10766619
ganmai8	SRR10766620
qiangweimai	SRR10766621
laogaidaqingmang	SRR10766622
shijiazhuang8	SRR10766623
xiaoyan22	SRR10766624
lunxuan987	SRR10766625
xumai856	SRR10766628
bainong4199	SRR10766629
bainong201	SRR10766630
gansu96	SRR10766633
Zhongmai175	SRR10766496
Gaocheng8901	SRR10766498
Chuanmai42	SRR10766500
Fengdecunmai5	SRR10766501
Zhongmai66	SRR10766502
Zhou8425B	SRR10766511
Xinong6028	SRR10766525
Wuyimai	SRR10766531
Huaimai20	SRR10766539
Handan6172	SRR10766545
Zhengmai366	SRR10766546
Jimai38	SRR10766548
Gaoyou503	SRR10766549
Mianyang26	SRR10766551
Yangmai158	SRR10766559
Yannong19	SRR10766562
Jimai26	SRR10766566
Jinan13	SRR10766567
Yangmai5	SRR10766568
Shaannong7859	SRR10766570
Shannongfu63	SRR10766574
Mianyang15	SRR10766577
Bainong791	SRR10766586
Xiaoyan96	SRR10766590
Kechun14	SRR10766591
Xinong881	SRR10766592
PH_82-2-2	SRR10766593
Shaan213	SRR10766595
Jinmai10	SRR10766596
Yumai47	SRR10766599
Yanshi4	SRR10766600
Jining3	SRR10766601
Yanzhan4110	SRR10766626
Xumai35	SRR10766627
ArinaLrFor	ArinaLrFor
Cadenza	Cadenza
CDC_Landmark	CDC_Landmark
CDC_Stanley	CDC_Stanley
Claire	Claire
Jagger	Jagger
Lancer	Lancer
Spelt	Spelt
Julius	Julius
Mace	Mace
Norin61	Norin61
Paragon	Paragon
Robigus	Robigus
Weebil	Weebil
Fengmai11	SRR7164585
Huining10	SRR7164587
Darius	SRR7164604
Pepital	SRR7164628
Kefeng3	SRR7164634
Kangxiu10	SRR7164635
Gaoyuan506	SRR7164642
Fengkang2	SRR7164652
Pronghorn	SRR7164669
Chul	SRR7164670
Jichun1016	SRR7164679
Pingyang27	SRR7164681
Aimengniu	SRR10766512
Akagomughi	SRR10766506
Mexipak_66	SRR10766514
Fontarronco	SRR10766584
San_Pastore	SRR10766585
Villa_Glori	SRR10766589
Mara	SRR10766603
PingYuan50	S10
YanDa1817	S11
Lumai23	HZ01
Armenia2	C21
Afghanistan1	C26
Afghanistan2	C27
Afghanistan3	C28
Uzbekistan1	C29
Uzbekistan2	C30
India1_ld	C33
India2_ld	C34
India3	C35
BaiMangMai	C36
ZhuMaoYuanZiTou	C37
Austria1	C1
Austria2	C2
Austria3	C3
Bulgaria	C4
Andorra1	C5
Andorra2	C6
Spain	C7
Italy	C8
Portugal1	C9
Portugal2	C10
Jordan1	C24
Jordan2	C25
YangMai	C39
DuiLongDQ1289	S4
ZXM1341	S14
RiKaZeLaSa1301	S46
QuShui1316	S47
GongGa1348	S48
JiangZi1405	S49
NaiDongQJ1494	S50
ZeDang1511	S51
GongBuJiangDa1523	S52
ZeDang1516	S72
ZeDang1513	S73
RiKaZeLaSa1373	S74
RiKaZeLaSa1367	S75
RiKaZeLaSa1297	S76
QuShui1409	S77
QuShui1340	S78
QiongJie1483	S79
NaiDong1503	S80
NaiDong1500	S81
MoZhuGK2065	S82
MoZhuGK2064	S83
MoZhuGK2050	S84
LaSa1342	S86
GongGa1508	S88
GongBuJiangDa1526	S89
GongBuJiangDa1525	S90
DuiLongDeQing1521	S91
DuiLongDeQing1284	S92
SC1658	S93
SC1666	S94
SC1587	S95
SC1635	S96
SC1588	S97
SC1668	S98
SC1661	S99
SC1670	S100
HongQiMai	S101
DuanYaoMai	S102
DaBaiMai	S103
BaiMuXianBan	S104
HongHuoSui	S105
BaiDaTou	S106
ShanMai	S108
TuTouMai	S109
XiaoHongMai	S110
XiaoMai	S111
MaoHongMai	S112
LiuYueHuang	S113
DuanBaiMai	S114
XJM1	S170
XJM20	S171
XJM29	S172
XJM81	S173
XJM90	S174
YN098	S175
YN109	S176
YN156	S177
YN241	S178
YN411	S179
DingXingZhai	S180
BaiHuoMai	S181
ChunXiaoMai	S182
MaZhaMai	S183
XiaoSanYueH	S184
XiShanBianSui	S185
BaiBianSui	S186
DaLiBanMang	S187
LaoLaiXia	S188
LanHuaMai	S240
GeJiaXiang	S241
ZhaHong	S243
MoTuo	S244
BianBaChunMai6	S245
BaiMangXiaoMai	S246
WuJiangZhuo	S247
MoZongZhuoGa	S248
KangDing1	S249
YiZhiMai	S250
HuoLiYan	S251
HongDongMai	S253
HongJinBaoYin	S254
Armenia1	S122
Turkey96	S123
Ethiopia3	S125
Tajikistan1	S126
Tajikistan4	S127
Georgia7	S128
Georgia9	S129
Russian5	S130
Turkey56	S131
Palestinian4	S132
Turkmenistan5	S133
Azerbaijan3	S134
YNTieKe6	S6
YNTieKe2	S56
YNTieKe19	S57
YNTieKe31	S58
YNTieKe32	S59
Turkey49	S203
Jordan47	S204
FHZNepal6	S206
FHZNepal7	S207
FHZIndia	S208
Fumai	SRR10766503
Wangshuibai	SRR10766504
Chengduguangtou	SRR10766522
Jiangdongmen	SRR10766530
Zhushimai	SRR10766604
Baihuamai	SRR10766605
Baimazha	SRR10766606
Galaohan	SRR10766608
Sanyuehuang	SRR10766611
Paozimai	SRR10766612
Zaoxiaomai	SRR10766613
Chanbuzhi	SRR10766614
Guangtoubaishenmai	SRR10766615
Hezhoudamai	SRR10766616
Youzitou	SRR10766617
Baishanmai	SRR10766618
PI_583718	SRR12640294
PI_481712	SRR12640293
PI_345409	SRR12640292
Zang1817	Zang1817
PI_52227	SRR12640398
PI_278249	SRR7164572
12677	SRR7164575
PI_351046	SRR7164576
429	SRR7164577
PI_153785	SRR7164578
PI_184157	SRR7164579
Hongtuzi	SRR7164582
Dayuhua	SRR7164584
Baiyoumai	SRR7164588
Chushanbao	SRR7164589
Dianxihongkeyangmai	SRR7164591
Kirmizi_Yazlik	SRR7164592
Aleppo_32	SRR7164594
PI_184168	SRR7164597
CItr_11478	SRR7164598
CItr_2608	SRR7164599
PI_192808	SRR7164600
Type_No.23	SRR7164601
PI_272374	SRR7164602
139	SRR7164603
PI_58075	SRR7164606
CItr_9358	SRR7164607
PI_43250	SRR7164608
PI_264961	SRR7164609
PI_57157	SRR7164610
Krata	SRR7164612
Homara	SRR7164613
PI_65564	SRR7164622
PI_157949	SRR7164623
K2003-65	SRR7164625
PI_345238	SRR7164627
PI_51688	SRR7164629
Type_No.7	SRR7164630
Type_No.16	SRR7164631
Liyuanmai	SRR7164632
Xiaohongpi	SRR7164633
Shuilizhan	SRR7164639
Tumangmai	SRR7164641
Zipi	SRR7164643
Zijiuhong	SRR7164648
Louguding	SRR7164653
Hongmangmai	SRR7164655
Jiangmai	SRR7164657
Qiangchangmai	SRR7164661
Kandihari	SRR7164662
79TK112-1067B	SRR7164664
PI_41021	SRR7164665
PI_94468	SRR7164666
PI_43344	SRR7164667
PI_43364	SRR7164668
212	SRR7164671
Huomai	SRR7164672
Dakoumai	SRR7164673
Baiqiumai	SRR7164674
Youzimai	SRR7164675
Liuzhutou	SRR7164676
Laotutou	SRR7164677
Tongjiabaxiaomai	SRR7164680
Xiaofoshou	SRR7164682
Zaowutian	SRR7164683
Dahongmai	SRR7164684
Mangxiaomai	SRR7164686
Huoliaomai	SRR7256757
Chinese_Spring	CS
ZuoGong1203	S1
LangXian1274	S2
JiTang1387	S3
ZuoGongSuiSui1	S16
JiaChaSuiSui8	S17
JiaChaSuiSui27	S18
JiaChaSuiSui32	S19
JiaChaSuiSui33	S20
JiaChaSuiSui34	S21
LangXianSuiSui9	S22
LangXianSuiSui15	S23
LangXianSuiSui17	S24
LongZiSuiSui10	S25
LongZiSuiSui11	S26
LongZiSuiSui17	S27
LongZiSuiSui23	S28
ChaYaZheDa14	S30
ChaYaZheDa18	S31
ChaYaZheDa19	S32
ChaYaZheDa32	S33
JiaChaZheDa9	S34
JiaChaZheDa55	S35
JiaChaZheDa63	S36
LangXianZheDa3	S37
LangXianZheDa4	S38
LangXianZheDa20	S39
LangXianZheDa35	S40
LongZiZheDa4	S41
LongZiZheDa19	S43
LongZiZheDa27	S44
SangRiZheDa21	S45
LangXianSuiSui18	S144
ChaYaZheDa49	S145
JiaChaZheDa28	S146
JiaChaZheDa37	S147
JiaChaZheDa39	S148
LangXianZheDa5	S149
LangXianZheDa6	S150
LangXianZheDa7	S151
LangXianZheDa16	S152
LangXianZheDa17	S153
LangXianZheDa25	S154
LongZiZheDa15	S155
LongZiZheDa22	S156
LongZiZheDa23	S157
LongZiZheDa26	S158
LongZiZheDa28	S159
LongZiZheDa29	S160
LongZiZheDa32	S161
LongZiZheDa34	S162
LongZiZheDa48	S163
LongZiZheDa57	S164
LongZiZheDa62	S165
SangRiZheDa3	S166
SangRiZheDa4	S167
SangRiZheDa6	S168
SangRiZheDa7	S169
ChaYuSuiSui2	S255
ChaYuSuiSui3	S256
ChaYuSuiSui5	S257
ChaYuZheDa1	S258
ChaYuZheDa5	S259
ChaYuZheDa6	S260
ChaYuZheDa8	S261
JiaChaZheDa61	S262
LangXianZheDa38	S264
LangXianZheDa47	S265
LongZiZheDa41	S266
LongZiZheDa42	S267
SangRiZheDa1	S268
XM1232	SRR12640310
XM1247	SRR12640309
XM1222	SRR12640308
XM1379	SRR12640305
SWEAltgold	S7
DEU3418	S8
SWEHubel	S9
Baulander	S115
Emilius	S116
Holstenkorn	S117
KippenWeisser	S118
Lignee	S119
Ostro	S120
Zuzger	S121
PI_591898	SRR12640336
PI_347913	SRR12640335
PI_347921	SRR12640334
PI_348526	SRR12640333
PI_355592	SRR12640332
PI_306553	SRR12640331
PI_348168	SRR12640330
PI_168680	SRR12640329
PI_272576	SRR12640327
PI_348349	SRR12640326
PI_615249	SRR12640325
PI_348303	SRR12640324
PI_272573	SRR12640323
PI_306554	SRR12640322
XZMiSui	S13
PI_572851	SRR12640347
PI_470735	SRR12640346
PI_341432	SRR12640345
PI_60740	SRR12640344
PI_366118	SRR12640343
T1240001	SRR12640342
PI_272555	SRR12640341
PI_572910	SRR12640340
PI_572909	SRR12640338
TRI_13602	SRR12640337
PI_42013	SRR12640321
PI_40942	SRR12640320
PI_277164	SRR12640319
PI_337997	SRR12640318
PI_182118	SRR12640316
XM0929	SRR12640315
XM0932	SRR12640314
XM0939	SRR12640313
XM0909	SRR12640312
XM0920	SRR12640311
PI_585015	SRR12640304
IG_45115	SRR12640303
TRI_9934	SRR12640302
TRI_12908	SRR12640301
KU-3848	SRR12640300
TRI_9416	SRR12640299
TRI_7315	SRR12640298
TRI_4630	SRR12640297
TRI_11556	SRR12640296
BAXTER	C51
Akteur	Akteur
Alceste	Alceste
Alchemy	Alchemy
Alexander	Alexander
Altigo	Altigo
Ambition	Ambition
Amundsen	Amundsen
Anapolis	Anapolis
Antonius	Antonius
Aperitiv	Aperitiv
Apostel	Apostel
Arezzo	Arezzo
Arktis	Arktis
Attraktion	Attraktion
Baguette11	Baguette11
Balaton	Balaton
Banderola	Banderola
Banquet	Banquet
Barok	Barok
Batuta	Batuta
Benchmark	Benchmark
Bogatka	Bogatka
Bombus	Bombus
Boregar	Boregar
Bosporus	Bosporus
Boss	Boss
Bruce	Bruce
Bryza	Bryza
BUENNO	BUENNO
Capone	Capone
Cassiopeia	Cassiopeia
Chiron	Chiron
Colonia	Colonia
Dialog	Dialog
Dichter	Dichter
Discus	Discus
Edward	Edward
Einstein	Einstein
Elixer	Elixer
Eriwan	Eriwan
Estivus	Estivus
Eurojet	Eurojet
Expert	Expert
Famulus	Famulus
Faustus	Faustus
Figura	Figura
Finezja	Finezja
Florian	Florian
Folklor	Folklor
Franz	Franz
Fridolin	Fridolin
Gatsby	Gatsby
Gladiator	Gladiator
Glasgow	Glasgow
Glaucus	Glaucus
Globus	Globus
Gulliver	Gulliver
Gustav	Gustav
Humber	Humber
Hyperion	Hyperion
Impression	Impression
Instinct	Instinct
Intact	Intact
Intense	Intense
Izyda	Izyda
Jantarka	Jantarka
Johnny	Johnny
Joker	Joker
Kingdom	Kingdom
Kobiera	Kobiera
Kometus	Kometus
Kranich	Kranich
KWSBarny	KWSBarny
KWSGymnast	KWSGymnast
KWSLoft	KWSLoft
KWSMaddox	KWSMaddox
KWSMagic	KWSMagic
KWSMilaneco	KWSMilaneco
KWSMontana	KWSMontana
KWSOzon	KWSOzon
KWSPius	KWSPius
KWSSalix	KWSSalix
Lahertis	Lahertis
Lars	Lars
Lear	Lear
Legenda	Legenda
LGImposanto	LGImposanto
LGKopernikus	LGKopernikus
LGMagirus	LGMagirus
Linus	Linus
Magister	Magister
Manager	Manager
Marin	Marin
Markiza	Markiza
Matrix	Matrix
Memory	Memory
Mentor	Mentor
Mescal	Mescal
Midas	Midas
Monty	Monty
Mulan	Mulan
Muskat	Muskat
Musketeer	Musketeer
Muza	Muza
Nadobna	Nadobna
Nateja	Nateja
Natula	Natula
Nelson	Nelson
Nordkap	Nordkap
Norin	Norin
Ohio	Ohio
OstkaStrzelecka	OstkaStrzelecka
Oxal	Oxal
Panorama	Panorama
Partner	Partner
Patras	Patras
Pionier	Pionier
Ponticus	Ponticus
Position	Position
Primus	Primus
Rebell	Rebell
RibbeckPZO	RibbeckPZO
Rockefeller	Rockefeller
Rubens	Rubens
Rubisko	Rubisko
Rumor	Rumor
Rywalka	Rywalka
Sailor	Sailor
Achat	Achat
Arina	Arina
Bussard	Bussard
Caesar	Caesar
Consort	Consort
Hereward	Hereward
Kanzler	Kanzler
Korweta	Korweta
Lynx	Lynx
Macro	Macro
Malacca	Malacca
Mewa	Mewa
Mikon	Mikon
Renan	Renan
PF001	SAMEA10944144
PF003	SAMEA10944146
PF005	SAMEA10944148
PF007	SAMEA10944150
PF009	SAMEA10944152
PF011	SAMEA10944154
PF013	SAMEA10944156
PF015	SAMEA10944158
PF016	SAMEA10944159
PF017	SAMEA10944160
PF018	SAMEA10944161
PF020	SAMEA10944163
PF022	SAMEA10944165
PF024	SAMEA10944167
PF026	SAMEA10944169
PF028	SAMEA10944171
PF030	SAMEA10944173
PF032	SAMEA10944175
PF034	SAMEA10944177
PF035	SAMEA10944178
PF036	SAMEA10944179
PF039	SAMEA10944182
PF041	SAMEA10944184
PF043	SAMEA10944186
PF045	SAMEA10944188
